"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","success","success.time","eating.times","cut.uncut"
"56","OC56","OC56.4","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",339610,560390,0.3773,0.6227,0.0478,0.1452,0.6967,0,34700,66936,12030,120458,66936,187394,34700,66936,46730,52520,109242,52520,1,211264,3,FALSE,NA,0,"uncut"
"57","OC57","OC57.4","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",529392,370608,0.5882,0.4118,0.5354,0.0811,0.0629,0.0344,227108,41438,5208,74768,41438,116206,227108,41438,232316,29332,73816,29332,2,375230,6,FALSE,NA,0,"uncut"
"58","OC58","OC58.4","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",864396,0,0.9604,0,0.2779,0.116,0.1584,0.0874,259006,36648,53292,21528,21528,58176,259006,36648,312298,16022,16522,16022,0,363000,1,TRUE,70564,5,"uncut"
"59","OC59","OC59.4","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",401210,470776,0.4458,0.5231,0.0585,0.0538,0.649,0.0354,167952,8326,9730,223622,8326,231948,167952,8326,177682,5222,210168,5222,1,186738,4,TRUE,67624,2,"uncut"
"60","OC60","OC60.4","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",255624,644376,0.284,0.716,0.4515,0.0342,0.0145,0,0,NA,440498,75590,75590,NA,0,NA,440498,22374,44854,22374,2,0,0,FALSE,NA,0,"uncut"
"61","OC61","OC61.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.1311,0.2068,0.141,0.1637,58568,17506,254932,61410,17506,78916,254932,61410,313500,8182,60710,60710,0,750164,7,TRUE,62000,0,"uncut"
"62","OC62","OC62.4","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",681400,96972,0.7571,0.1077,0.1643,0.2791,0.0464,0.1036,230350,88016,125154,17886,17886,105902,125154,17886,355504,82808,10406,10406,2,398332,3,TRUE,28728,4,"uncut"
"63","OC63","OC63.4","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",892958,0,0.9922,0,0.1037,0.2631,0.2303,0.2039,16494,172450,156302,20002,20002,192452,156302,20002,172796,10984,17872,17872,0,801226,12,TRUE,254320,1,"uncut"
"64","OC64","OC64.4","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",234166,665834,0.2602,0.7398,0.9195,0.021,0.0246,0,4726,36616,19484,54092,36616,90708,19484,54092,24210,29338,48760,48760,2,76210,1,FALSE,NA,0,"uncut"
"65","OC65","OC65.4","Osmia cornuta","Male","Control","Yellow right","2x","Yellow","Right",894542,5458,0.9939,0.0061,0.2962,0.3466,0.0648,0.0578,122294,380620,73466,36290,36290,416910,73466,36290,195760,146292,19480,19480,1,0,0,TRUE,73600,0,"uncut"
"71","OC71","OC71.4","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",852846,0,0.9476,0,0.1129,0.185,0.1378,0.1297,24076,45518,347184,36590,36590,82108,347184,36590,371260,43614,31116,31116,0,506768,10,TRUE,214940,1,"uncut"
"73","OC73","OC73.4","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",576498,28262,0.6406,0.0314,0.0441,0.0348,0.0191,0.0217,768422,14956,12174,616140,14956,631096,768422,14956,780596,11680,614668,11680,1,130924,2,TRUE,20170,5,"uncut"
"74","OC74","OC74.4","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",810022,89978,0.9,0.1,0.1073,0.4106,0.0652,0.1415,178832,78148,64202,6468,6468,84616,178832,78148,243034,47908,4756,47908,1,650096,6,FALSE,NA,0,"uncut"
"78","OC78","OC78.4","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",347708,552292,0.3863,0.6137,0.2094,0.0136,0.0156,0,568770,36874,104940,126316,36874,163190,568770,36874,673710,29244,25578,29244,3,0,0,TRUE,57402,0,"uncut"
"79","OC79","OC79.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",398718,501282,0.443,0.557,0.7009,0.0935,0.0437,0.0605,63968,90500,22456,13572,13572,104072,63968,90500,86424,4810,11696,4810,1,287316,5,TRUE,102768,0,"uncut"
"81","OC81","OC81.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.2423,0.2071,0.187,0.1715,123286,63672,40094,88784,63672,152456,123286,63672,163380,35156,87962,35156,0,700666,13,FALSE,NA,0,"uncut"
"82","OC82","OC82.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",0,450000,0,1,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,1,0,0,FALSE,NA,0,"uncut"
"83","OC83","OC83.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.237,0.1115,0.0975,0.1131,230512,14608,161364,28366,14608,42974,230512,14608,391876,12670,26014,12670,0,819666,13,FALSE,NA,0,"uncut"
"84","OC84","OC84.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",331464,568536,0.3683,0.6317,0.9135,0.016,0.0112,0.0129,3218,83206,30748,37534,37534,120740,30748,37534,33966,74672,29534,29534,4,64208,1,TRUE,61322,0,"uncut"
"86","OC86","OC86.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.2485,0.2927,0.1752,0.1267,15880,31196,121240,6300,6300,37496,121240,6300,137120,14712,4034,4034,0,844224,15,TRUE,142704,0,"uncut"
"88","OC88","OC88.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.159,0.1224,0.2491,0.1488,53280,82124,224904,38638,38638,120762,224904,38638,278184,81550,10380,10380,0,774724,6,TRUE,46606,0,"uncut"
