"","ID","test","species","sex","experiment.type","correct.cue","speed","activity.time","inactivity.time","refuge.time","getting.out.refuge.time","activity.prop","inactivity.prop","refuge.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","third.cue.time","time.until.third.cue","fourth.cue.time","time.until.fourth.cue","touch.1.cue","touch.2.cues","touch.3.cues","touch.4.cues","times.resting","time.until.first.quadrant","time.until.second.quadrant","escape.time","escape.attemps","refuge.exit","refuge.enter.times","refuge.re.enter","success","success.time","cut.uncut"
"11","OC11","OC11.1","Osmia cornuta","Male","Treatment","","2x",726850,3170,169980,169980,0.8076,0.0035,0.1889,0.1627,0.2469,0.3439,0.0186,2366,675706,5522,214554,19442,225450,2992,408524,214554,440004,848528,1524234,1,181756,174748,472918,6,"Yes",0,FALSE,TRUE,675706,"uncut"
"12","OC12","OC12.1","Osmia cornuta","Female","Treatment","","2x",465220,325298,109482,109482,0.5169,0.3614,0.1216,0.5261,0.0444,0.2043,0.0576,8780,171690,8094,346906,14304,144316,6116,191226,144316,316006,507232,854138,1,124970,123210,23312,1,"Yes",0,FALSE,TRUE,346906,"uncut"
"13","OC13","OC13.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.3701,0.1591,0.2454,0.2021,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,20952,108568,855112,13,"No",0,FALSE,FALSE,NA,"uncut"
"14","OC14","OC14.1","Osmia cornuta","Male","Control","","4x",862024,37976,0,NA,0.9578,0.0422,0,0.2752,0.1504,0.319,0.2236,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,4,54248,324840,701116,12,"No",0,FALSE,FALSE,NA,"uncut"
"15","OC15","OC15.1","Osmia cornuta","Female","Treatment","","2x",412858,19682,467460,467460,0.4587,0.0219,0.5194,0.1062,0.0588,0.1252,0.1218,2738,519908,27870,491012,16678,478340,9728,533524,478340,969352,1489260,2022784,2,485348,489524,132718,10,"Yes",0,FALSE,TRUE,533524,"uncut"
"16","OC16","OC16.1","Osmia cornuta","Male","Treatment","","2x",412974,51968,426560,7808,0.4589,0.0577,0.474,0.1346,0.0451,0.2114,0.0769,2304,88416,4690,181534,27698,21022,10174,146320,21022,109438,255758,437292,2,65328,179982,204654,11,"Yes",2,TRUE,TRUE,181534,"uncut"
"17","OC17","OC17.1","Osmia cornuta","Male","Control","","4x",896480,3520,0,NA,0.9961,0.0039,0,0.2345,0.2206,0.295,0.2374,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,120500,128248,758348,18,"No",0,FALSE,FALSE,NA,"uncut"
"18","OC18","OC18.1","Osmia cornuta","Male","Control","","4x",284480,615520,0,NA,0.3161,0.6839,0,0.2059,0.0361,0.644,0.1051,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,4,112252,94044,173380,3,"No",0,FALSE,FALSE,NA,"uncut"
"19","OC19","OC19.1","Osmia cornuta","Female","Treatment","","2x",304422,57562,538016,49012,0.3382,0.064,0.5978,0.2072,0.0714,0.0281,0.0763,11610,138256,0,NA,0,NA,0,NA,138256,NA,NA,NA,2,131422,73556,208310,4,"Yes",1,TRUE,FALSE,NA,"uncut"
"20","OC20","OC20.1","Osmia cornuta","Female","Treatment","","2x",757930,138416,3654,3654,0.8421,0.1538,0.0041,0.4535,0.2385,0.0674,0.0861,52558,31962,22764,8628,33280,203868,21092,41966,8628,40590,82556,286424,1,14796,7010,422774,14,"Yes",0,FALSE,TRUE,203868,"uncut"
"21","OC21","OC21.1","Osmia cornuta","Male","Control","","4x",878852,21148,0,NA,0.9765,0.0235,0,0.3459,0.1724,0.3149,0.149,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,88752,107764,824016,16,"No",0,FALSE,FALSE,NA,"uncut"
"22","OC22","OC22.1","Osmia cornuta","Female","Control","","4x",522024,377976,0,NA,0.58,0.42,0,0.1094,0.7265,0.0355,0.1196,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,5,249496,8124,267988,8,"No",0,FALSE,FALSE,NA,"uncut"
"23","OC23","OC23.1","Osmia cornuta","Male","Treatment","","2x",778584,80306,3446,3446,0.8651,0.0892,0.0038,0.3292,0.4805,0.0639,0,101904,129702,8400,106742,0,NA,0,NA,106742,236444,NA,NA,4,125750,3446,627216,5,"Yes",0,FALSE,FALSE,NA,"uncut"
"24","OC24","OC24.1","Osmia cornuta","Female","Treatment","","2x",896352,0,1926,1926,0.9959,0,0.0021,0.3764,0.0819,0.3222,0.0555,112046,1926,10674,165018,18042,329144,3624,127738,1926,129664,294682,623826,0,115892,88054,374374,15,"Yes",0,FALSE,TRUE,329144,"uncut"
"25","OC25","OC25.1","Osmia cornuta","Female","Treatment","","2x",896614,0,3386,3386,0.9962,0,0.0038,0.2786,0.2674,0.1496,0.2087,10410,62146,37122,9950,16250,193008,10132,85440,9950,72096,157536,350544,0,32764,8614,674632,25,"Yes",0,FALSE,TRUE,193204,"uncut"
"26","OC26","OC26.1","Osmia cornuta","Female","Control","","4x",710760,187564,0,NA,0.7897,0.2084,0,0.2917,0.2347,0.1752,0.2639,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,44776,73544,706716,17,"No",0,FALSE,FALSE,NA,"uncut"
"27","OC27","OC27.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.328,0.2698,0.166,0.2226,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,123684,53848,852440,19,"No",0,FALSE,FALSE,NA,"uncut"
"28","OC28","OC28.1","Osmia cornuta","Female","Treatment","","2x",549926,1530,348544,234,0.611,0.0017,0.3873,0.2439,0.0958,0.1277,0.0712,50092,364402,3440,433596,3374,436514,2256,464480,364402,797998,1234512,1698992,1,363116,434216,387762,18,"Yes",1,TRUE,TRUE,465180,"uncut"
"29","OC29","OC29.1","Osmia cornuta","Female","Treatment","","2x",601794,51810,246396,5660,0.6687,0.0576,0.2738,0.1444,0.077,0.2343,0.1914,31322,225466,3904,261348,6476,162458,2464,127668,127668,290126,515592,776940,2,15690,74622,212482,10,"Yes",3,TRUE,TRUE,261348,"uncut"
"30","OC30","OC30.1","Osmia cornuta","Female","Treatment","","2x",628324,0,271676,271676,0.6981,0,0.3019,0.1151,0.1946,0.1713,0.1206,27364,327232,11224,524914,31318,317332,11332,384270,317332,644564,1028834,1553748,0,326732,360470,189654,9,"Yes",0,FALSE,TRUE,526354,"uncut"
"31","OC31","OC31.1","Osmia cornuta","Female","Control","","4x",765772,134228,0,NA,0.8509,0.1491,0,0.1545,0.4622,0.1579,0.1725,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,3,67900,47592,663816,18,"No",0,FALSE,FALSE,NA,"uncut"
"32","OC32","OC32.1","Osmia cornuta","Male","Control","","4x",9e+05,0,0,NA,1,0,0,0.1248,0.2041,0.4972,0.1641,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,34196,8812,853828,17,"No",0,FALSE,FALSE,NA,"uncut"
"33","OC33","OC33.1","Osmia cornuta","Female","Treatment","","2x",0,0,9e+05,9e+05,0,0,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,"No",0,FALSE,FALSE,NA,"uncut"
"34","OC34","OC34.1","Osmia cornuta","Female","Treatment","","2x",876166,0,23834,23834,0.9735,0,0.0265,0.3942,0.1729,0.115,0.089,14086,341792,41822,87020,62578,337644,1234,334556,87020,421576,759220,1101012,0,153686,86298,616356,17,"Yes",0,FALSE,TRUE,343690,"uncut"
"35","OC35","OC35.1","Osmia cornuta","Female","Treatment","","2x",388956,0,511044,210548,0.4322,0,0.5678,0.154,0.0675,0.0731,0.0592,36154,277108,13200,469890,6266,220316,11548,228974,220316,449290,726398,1196288,0,255068,233778,303400,16,"Yes",1,TRUE,TRUE,470624,"uncut"
"36","OC36","OC36.1","Osmia cornuta","Male","Treatment","","2x",771286,49000,79714,55064,0.857,0.0544,0.0886,0.3197,0.2395,0.2091,0.06,17060,71042,7176,243952,4562,599154,1636,591046,71042,314994,906040,1505194,1,60732,60242,623262,21,"Yes",2,TRUE,TRUE,600008,"uncut"
